timestamp,n_seen,event_type,district
2016-02-21 00:00:00,47898,drift,Global
2016-02-21 01:00:00,47962,warning,Global
2016-02-21 04:00:00,337498,drift,Manhattan
2016-02-21 05:00:00,6062,warning,Queens
2016-02-21 07:00:00,337658,warning,Manhattan
2016-02-21 10:00:00,48298,drift,Global
2016-02-21 11:00:00,6088,drift,Queens
2016-02-21 13:00:00,48394,warning,Global
2016-02-21 17:00:00,340498,drift,Manhattan
2016-02-21 17:00:00,340658,warning,Manhattan
2016-02-21 19:00:00,48698,drift,Global
2016-02-21 20:00:00,48762,warning,Global
2016-02-22 06:00:00,49098,drift,Global
2016-02-22 08:00:00,49162,warning,Global
2016-02-22 08:00:00,6184,warning,Queens
2016-02-22 08:00:00,343498,drift,Manhattan
2016-02-22 09:00:00,343562,warning,Manhattan
2016-02-22 17:00:00,49498,drift,Global
2016-02-22 18:00:00,49562,warning,Global
2016-02-22 18:00:00,346498,drift,Manhattan
2016-02-22 18:00:00,346562,warning,Manhattan
2016-02-23 00:00:00,6268,drift,Queens
2016-02-23 00:00:00,49898,drift,Global
2016-02-23 04:00:00,49962,warning,Global
2016-02-23 08:00:00,349498,drift,Manhattan
2016-02-23 08:00:00,349594,warning,Manhattan
2016-02-23 15:00:00,50298,drift,Global
2016-02-23 15:00:00,352498,drift,Manhattan
2016-02-23 16:00:00,352690,warning,Manhattan
2016-02-23 17:00:00,50362,warning,Global
2016-02-23 18:00:00,6332,warning,Queens
2016-02-23 22:00:00,50698,drift,Global
2016-02-23 23:00:00,355498,drift,Manhattan
2016-02-23 23:00:00,50762,warning,Global
2016-02-23 23:00:00,355594,warning,Manhattan
2016-02-24 12:00:00,51098,drift,Global
2016-02-24 12:00:00,358498,drift,Manhattan
2016-02-24 12:00:00,358658,warning,Manhattan
2016-02-24 13:00:00,4754,warning,Brooklyn
2016-02-24 14:00:00,51162,warning,Global
2016-02-24 20:00:00,361498,drift,Manhattan
2016-02-24 20:00:00,361626,warning,Manhattan
2016-02-24 21:00:00,51498,drift,Global
2016-02-24 22:00:00,51530,warning,Global
